system:index,Blue,Green,NDSI,NDVI,NDWI,NIR,Red,SWIR1,SWIR2,Thermal,class,random,.geo
1_1_1_1_10_6,0.6286025,0.69078,0.95341563,-0.04440189,0.020135146,0.6344875000000001,0.7295,0.012767499999999987,0.013812500000000005,274.70793956,0,0.5067696099083471,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_1_1_10_7,0.6235425000000001,0.6837125,0.95401543,-0.049433768,0.02088232,0.6327275000000001,0.7256225000000001,0.012767499999999987,0.013922500000000004,274.76946392,0,0.6470360081707642,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_1_1_10_8,0.6235425000000001,0.6837125,0.95401543,-0.049433768,0.02088232,0.6327275000000001,0.7256225000000001,0.012767499999999987,0.013922500000000004,274.76946392,0,0.7312727486887862,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_1_1_10_10,0.63314,0.6912750000000001,0.9550986,-0.045755766,0.021209292,0.6383099999999999,0.7317549999999999,0.012657499999999988,0.013647500000000007,274.62590708,0,0.13951353919346754,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_1_1_10_12,0.6347075,0.696445,0.95251673,-0.0452474,0.020058256,0.63842,0.7352475,0.013069999999999998,0.014279999999999987,274.6976855,0,0.04731727024028587,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_1_1_10_13,0.6347075,0.696445,0.95251673,-0.0452474,0.020058256,0.63842,0.7352475,0.013069999999999998,0.014279999999999987,274.6976855,0,0.3515559588691627,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_1_1_10_14,0.6201325,0.6782950000000001,0.9525645,-0.045693375,0.02004978,0.629235,0.7208375,0.013014999999999999,0.013922500000000004,274.70793956,0,0.681558785491392,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_1_1_10_15,0.6278325,0.68957,0.95416194,-0.04634645,0.021000838,0.6382275,0.73214,0.012767499999999987,0.014252500000000001,274.61565301999997,0,0.15257083808935512,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_1_1_10_18,0.6326175,0.6934199999999999,0.95265216,-0.045246635,0.018721398,0.6396850000000001,0.7341200000000001,0.01337250000000001,0.0144175,274.65325124000003,0,0.3793781765953135,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_1_1_10_19,0.6325075,0.6931175,0.95114905,-0.04485917,0.019044332,0.63809,0.7338724999999999,0.013592500000000007,0.014169999999999988,274.67034134,0,0.0981380968434361,"{""type"":""MultiPoint"",""coordinates"":[]}"
